id,name,team,classic,roles,price,initialPrice,fvm,fvmMantra,diff,diffMantra,classicMarketPrice,mantraMarketPrice,season,source
5841,Svilar,Roma,P,Por,19,18,90,90,1,1,19,18,2026/27,Fantacalcio.it
4431,Carnesecchi,Atalanta,P,Por,16,16,56,56,0,0,16,16,2026/27,Fantacalcio.it
5116,Martinez Jo.,Inter,P,Por,16,17,63,63,-1,-1,16,17,2026/27,Fantacalcio.it
4964,Vicario,Juventus,P,Por,16,16,62,62,0,0,16,16,2026/27,Fantacalcio.it
6966,Butez,Como,P,Por,15,16,47,47,-1,-1,15,16,2026/27,Fantacalcio.it
4312,Maignan,Milan,P,Por,14,15,51,51,-1,-1,14,15,2026/27,Fantacalcio.it
4360,Caprile,Cagliari,P,Por,11,9,25,25,2,2,11,9,2026/27,Fantacalcio.it
6482,Mandas,Lazio,P,Por,11,9,35,35,2,2,11,9,2026/27,Fantacalcio.it
133,Skorupski,Bologna,P,Por,10,10,28,28,0,0,10,10,2026/27,Fantacalcio.it
2521,De Gea,Fiorentina,P,Por,10,13,24,24,-3,-3,10,13,2026/27,Fantacalcio.it
572,Meret,Napoli,P,Por,10,11,45,45,-1,-1,10,11,2026/27,Fantacalcio.it
6534,Perri,Torino,P,Por,9,9,17,17,0,0,9,9,2026/27,Fantacalcio.it
2134,Falcone,Lecce,P,Por,8,8,24,24,0,0,8,8,2026/27,Fantacalcio.it
6462,Okoye,Udinese,P,Por,8,9,26,26,-1,-1,8,9,2026/27,Fantacalcio.it
6344,Sanchez Ro.,Como,P,Por,8,8,15,15,0,0,8,8,2026/27,Fantacalcio.it
7332,Bijlow,Genoa,P,Por,7,8,12,12,-1,-1,7,8,2026/27,Fantacalcio.it
6415,Palmisani,Frosinone,P,Por,6,4,13,13,2,2,6,4,2026/27,Fantacalcio.it
7411,Daffara,Parma,P,Por,6,7,5,5,-1,-1,6,7,2026/27,Fantacalcio.it
4236,Muric,Sassuolo,P,Por,6,7,14,14,-1,-1,6,7,2026/27,Fantacalcio.it
2170,Milinkovic-Savic V.,Napoli,P,Por,5,5,10,10,0,0,5,5,2026/27,Fantacalcio.it
6248,Stankovic F.,Venezia,P,Por,5,6,9,9,-1,-1,5,6,2026/27,Fantacalcio.it
4485,Thiam,Monza,P,Por,4,5,4,4,-1,-1,4,5,2026/27,Fantacalcio.it
6662,Corvi,Parma,P,Por,3,1,10,10,2,2,3,1,2026/27,Fantacalcio.it
7172,Pessina Mas.,Bologna,P,Por,2,1,1,1,1,1,2,1,2026/27,Fantacalcio.it
4,Sportiello,Atalanta,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7533,Happonen,Bologna,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
6650,Sherri,Cagliari,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7301,Tornqvist,Monza,P,Por,1,1,3,3,0,0,1,1,2026/27,Fantacalcio.it
2809,Vigorito,Como,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
6403,Christensen O.,Fiorentina,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
158,Lezzerini,Fiorentina,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7463,Desplanches,Frosinone,P,Por,1,2,1,1,-1,-1,1,2,2026/27,Fantacalcio.it
7466,Lolic,Frosinone,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
219,Sommariva,Genoa,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
6569,Stolz,Genoa,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
1926,Di Gennaro,Inter,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
2814,Provedel,Inter,P,Por,1,2,5,5,-1,-1,1,2,2026/27,Fantacalcio.it
1930,Pinsoglio,Juventus,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7337,Motta,Lazio,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7534,Renzetti,Lazio,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
2815,Terracciano,Milan,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
6813,Torriani,Milan,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7475,Strajnar,Monza,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
2845,Contini,Napoli,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7048,De Marzi,Roma,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
610,Gollini,Roma,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
4518,Russo A.,Sassuolo,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
4867,Turati,Sassuolo,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7457,Mascardi,Torino,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7363,Siviero,Torino,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
543,Padelli,Udinese,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
6671,Grandi,Venezia,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7531,Pozzi,Venezia,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
2127,Satalino,Sassuolo,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7557,Penev,Lecce,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
